"pop2025","population","growthRate","densityMi","state","code","fips","rank","percent"
39663800,39663800,0.0059,254.61583,"California","CA",6,1,0.11573957454782763
31853800,31853800,0.01799,121.93682,"Texas","TX",48,2,0.09294987519429787
23839600,23839600,0.02,444.56131,"Florida","FL",12,3,0.06956431712015469
19997100,19997100,0.00654,424.33264,"New York","NY",36,4,0.058351843398523694
13139800,13139800,0.00466,293.67275,"Pennsylvania","PA",42,5,0.0383421372042907
12778100,12778100,0.00534,230.15724,"Illinois","IL",17,6,0.0372866910767399
11942600,11942600,0.00499,292.27381,"Ohio","OH",39,7,0.034848689308510185
11297300,11297300,0.01041,196.43037,"Georgia","GA",13,8,0.03296569404694389
11210900,11210900,0.01493,230.59155,"North Carolina","NC",37,9,0.03271357752656681
10197600,10197600,0.00563,180.364,"Michigan","MI",26,10,0.02975675264117223
9622060,9622060,0.01276,1308.41175,"New Jersey","NJ",34,11,0.02807731812568817
8887700,8887700,0.00868,225.06204,"Virginia","VA",51,12,0.0259344444230943
8059040,8059040,0.01267,121.26881,"Washington","WA",53,13,0.02351640187939443
7691740,7691740,0.01442,67.71256,"Arizona","AZ",4,14,0.02244461486626364
7307200,7307200,0.01099,177.20868,"Tennessee","TN",47,15,0.02132252126966872
7205770,7205770,0.00975,923.81667,"Massachusetts","MA",25,16,0.021026546979601046
6968420,6968420,0.00637,194.50734,"Indiana","IN",18,17,0.020333956052384618
6309380,6309380,0.00737,649.98249,"Maryland","MD",24,18,0.018410867260841693
6282890,6282890,0.00599,91.39813,"Missouri","MO",29,19,0.01833356903601775
6013650,6013650,0.00943,58.02329,"Colorado","CO",8,20,0.01754792260145381
5991540,5991540,0.00513,110.63075,"Wisconsin","WI",55,21,0.01748340528356565
5833250,5833250,0.00692,73.25719,"Minnesota","MN",27,22,0.017021512644555377
5569830,5569830,0.01661,185.28426,"South Carolina","SC",45,23,0.016252849058933507
5197720,5197720,0.00776,102.63047,"Alabama","AL",1,24,0.015167026392295611
4626150,4626150,0.00823,117.15925,"Kentucky","KY",21,25,0.013499176397481653
4607410,4607410,0.0021,106.64313,"Louisiana","LA",22,26,0.01344449279109431
4291090,4291090,0.00438,44.70444,"Oregon","OR",41,27,0.012521466197047124
4126900,4126900,0.00769,60.16328,"Oklahoma","OK",40,28,0.012042357267872212
3707120,3707120,0.00872,765.61751,"Connecticut","CT",9,29,0.010817432812734604
3564000,3564000,0.01724,43.37349,"Utah","UT",49,30,0.010399806465554428
3320570,3320570,0.01625,30.24722,"Nevada","NV",32,31,0.009689474005422577
3264560,3264560,0.00712,58.44496,"Iowa","IA",19,32,0.009526035969469798
3107240,3107240,0.00612,59.71442,"Arkansas","AR",5,33,0.009066973805283204
2989710,2989710,0.00643,36.56735,"Kansas","KS",20,34,0.008724019469173044
2942920,2942920,-0.00004,62.71807,"Mississippi","MS",28,35,0.008587485534121616
2139350,2139350,0.00427,17.63714,"New Mexico","NM",35,36,0.006242655993850692
2032120,2032120,0.01524,24.58914,"Idaho","ID",16,37,0.005929757215146594
2023070,2023070,0.00878,26.33383,"Nebraska","NE",31,38,0.005903349176843208
1769460,1769460,-0.00029,73.61095,"West Virginia","WV",54,39,0.005163311321139152
1450900,1450900,0.00328,225.89133,"Hawaii","HI",15,40,0.004233748372859966
1415860,1415860,0.00485,158.14364,"New Hampshire","NH",33,41,0.004131501117373707
1410380,1410380,0.00382,45.72772,"Maine","ME",23,42,0.004115510393627568
1143160,1143160,0.00521,7.85429,"Montana","MT",30,43,0.0033357583499335577
1121190,1121190,0.00798,1084.32302,"Rhode Island","RI",44,44,0.0032716495541848956
1067410,1067410,0.01473,547.6706,"Delaware","DE",10,45,0.0031147186923112936
931033,931033,0.00688,12.28098,"South Dakota","SD",46,46,0.002716768522178601
804089,804089,0.00944,11.65329,"North Dakota","ND",38,47,0.0023463439902023553
743756,743756,0.0049,1.30337,"Alaska","AK",2,48,0.002170291374184876
648278,648278,-0.00033,70.33503,"Vermont","VT",50,49,0.0018916851110765132
590169,590169,0.00434,6.07839,"Wyoming","WY",56,50,0.0017221221610465181
